datetime,plant_1_heat_demand,DE_DA_price,natural_gas_price,co2_price,DE_ID3_price,DE_ID3_volume,aFRR_energy_down_quantity,aFRR_energy_down_price,aFRR_capacity_down_price,high_load_window
01.01.2025 00:00,6,10,50,80,80,100,2,5,0,0
01.01.2025 00:15,6,10,50,80,80,100,2,5,0,0
01.01.2025 00:30,6,10,50,80,80,100,2,5,0,0
01.01.2025 00:45,6,10,50,80,80,100,2,5,0,0
01.01.2025 01:00,6,10,50,80,80,100,2,5,0,0
01.01.2025 01:15,6,10,50,80,80,100,2,5,0,0
01.01.2025 01:30,6,10,50,80,80,100,2,5,0,0
01.01.2025 01:45,6,10,50,80,80,100,2,5,0,0
01.01.2025 02:00,6,45,50,80,70,100,2,10,0,0
01.01.2025 02:15,6,45,50,80,70,100,2,10,0,0
01.01.2025 02:30,6,45,50,80,70,100,2,10,0,0
01.01.2025 02:45,6,45,50,80,70,100,2,10,0,0
01.01.2025 03:00,6,45,50,80,70,100,2,10,0,0
01.01.2025 03:15,6,45,50,80,70,100,2,10,0,0
01.01.2025 03:30,6,45,50,80,70,100,2,10,0,0
01.01.2025 03:45,6,45,50,80,70,100,2,10,0,0
01.01.2025 04:00,6,15,50,80,5,100,2,5,0,0
01.01.2025 04:15,6,15,50,80,5,100,2,5,0,0
01.01.2025 04:30,6,15,50,80,5,100,2,5,0,0
01.01.2025 04:45,6,15,50,80,5,100,2,5,0,0
01.01.2025 05:00,6,15,50,80,5,100,2,5,0,0
01.01.2025 05:15,6,15,50,80,5,100,2,5,0,0
01.01.2025 05:30,6,15,50,80,5,100,2,5,0,0
01.01.2025 05:45,6,15,50,80,5,100,2,5,0,0
01.01.2025 06:00,6,50,50,80,65,100,2,30,0,0
01.01.2025 06:15,6,50,50,80,65,100,2,30,0,0
01.01.2025 06:30,6,50,50,80,65,100,2,30,0,0
01.01.2025 06:45,6,50,50,80,65,100,2,30,0,0
01.01.2025 07:00,6,50,50,80,65,100,2,30,0,0
01.01.2025 07:15,6,50,50,80,65,100,2,30,0,0
01.01.2025 07:30,6,50,50,80,65,100,2,30,0,0
01.01.2025 07:45,6,50,50,80,65,100,2,30,0,0
