name,unit_type,technology,component_name,node,demand,battery_capacity_mwh,mileage_mwh_per_km,max_power_charge,max_power_discharge,min_soc,max_soc,initial_soc,terminal_soc,efficiency_charge,efficiency_discharge,power_flow_directionality,availability_column,trip_distance_column,max_power,generation_column,route_template
building_1,building,electric_vehicle,bus_route_7k_01,grid_node,building_1_electricity_demand,0.3,0.00125,0.15,0.15,0.0,1.0,0.8,0.8,0.95,0.95,bidirectional,bus_route_7k_01_availability,bus_route_7k_01_trip_distance_km,,,bus_route_7k
building_1,building,electric_vehicle,bus_route_7k_02,grid_node,building_1_electricity_demand,0.3,0.00125,0.15,0.15,0.0,1.0,0.8,0.8,0.95,0.95,bidirectional,bus_route_7k_02_availability,bus_route_7k_02_trip_distance_km,,,bus_route_7k
building_1,building,electric_vehicle,bus_route_7k_03,grid_node,building_1_electricity_demand,0.3,0.00125,0.15,0.15,0.0,1.0,0.8,0.8,0.95,0.95,bidirectional,bus_route_7k_03_availability,bus_route_7k_03_trip_distance_km,,,bus_route_7k
building_1,building,electric_vehicle,bus_route_79_01,grid_node,building_1_electricity_demand,0.3,0.00125,0.15,0.15,0.0,1.0,0.8,0.8,0.95,0.95,bidirectional,bus_route_79_01_availability,bus_route_79_01_trip_distance_km,,,bus_route_79
building_1,building,electric_vehicle,bus_route_79_02,grid_node,building_1_electricity_demand,0.3,0.00125,0.15,0.15,0.0,1.0,0.8,0.8,0.95,0.95,bidirectional,bus_route_79_02_availability,bus_route_79_02_trip_distance_km,,,bus_route_79
building_1,building,electric_vehicle,bus_route_79_03,grid_node,building_1_electricity_demand,0.3,0.00125,0.15,0.15,0.0,1.0,0.8,0.8,0.95,0.95,bidirectional,bus_route_79_03_availability,bus_route_79_03_trip_distance_km,,,bus_route_79
building_1,building,electric_vehicle,bus_route_79_04,grid_node,building_1_electricity_demand,0.3,0.00125,0.15,0.15,0.0,1.0,0.8,0.8,0.95,0.95,bidirectional,bus_route_79_04_availability,bus_route_79_04_trip_distance_km,,,bus_route_79
building_1,building,electric_vehicle,bus_route_101_01,grid_node,building_1_electricity_demand,0.3,0.00125,0.15,0.15,0.0,1.0,0.8,0.8,0.95,0.95,bidirectional,bus_route_101_01_availability,bus_route_101_01_trip_distance_km,,,bus_route_101
building_1,building,electric_vehicle,bus_route_101_02,grid_node,building_1_electricity_demand,0.3,0.00125,0.15,0.15,0.0,1.0,0.8,0.8,0.95,0.95,bidirectional,bus_route_101_02_availability,bus_route_101_02_trip_distance_km,,,bus_route_101
building_1,building,electric_vehicle,bus_route_101_03,grid_node,building_1_electricity_demand,0.3,0.00125,0.15,0.15,0.0,1.0,0.8,0.8,0.95,0.95,bidirectional,bus_route_101_03_availability,bus_route_101_03_trip_distance_km,,,bus_route_101
building_1,building,charging_station,charger_01,grid_node,building_1_electricity_demand,,,0.15,0.15,,,,,,,bidirectional,,,,,
building_1,building,charging_station,charger_02,grid_node,building_1_electricity_demand,,,0.15,0.15,,,,,,,bidirectional,,,,,
building_1,building,charging_station,charger_03,grid_node,building_1_electricity_demand,,,0.15,0.15,,,,,,,bidirectional,,,,,
building_1,building,charging_station,charger_04,grid_node,building_1_electricity_demand,,,0.15,0.15,,,,,,,bidirectional,,,,,
building_1,building,charging_station,charger_05,grid_node,building_1_electricity_demand,,,0.15,0.15,,,,,,,bidirectional,,,,,
building_1,building,charging_station,charger_06,grid_node,building_1_electricity_demand,,,0.15,0.15,,,,,,,bidirectional,,,,,
building_1,building,charging_station,charger_07,grid_node,building_1_electricity_demand,,,0.15,0.15,,,,,,,bidirectional,,,,,
building_1,building,charging_station,charger_08,grid_node,building_1_electricity_demand,,,0.15,0.15,,,,,,,bidirectional,,,,,
building_1,building,charging_station,charger_09,grid_node,building_1_electricity_demand,,,0.15,0.15,,,,,,,bidirectional,,,,,
building_1,building,charging_station,charger_10,grid_node,building_1_electricity_demand,,,0.15,0.15,,,,,,,bidirectional,,,,,
